freq,class,sub_class,name,tooltip,alias,ignore
150,VERB,NA,showcase,showcase,\bshowcase\b|\bShowcase\b|\bshowcased\b|\bshowcases\b|\bshowcasing\b,FALSE
150,CONTRACT,NA,fabricate,fabricate,\bfabricate\b|\bfabricated\b|\bfabricates\b,FALSE
149,VERB,NA,border,border,\bborder\b|\bBorder\b|\bbordering\b|\bborders\b|\bBorders\b,FALSE
148,VERB,NA,buy,buy,\bbought\b|\bbuy\b|\bBuy\b|\bbuying\b|\bBuying\b,FALSE
147,VERB,NA,advise,advise,\badvise\b|\badvised\b|\badvisees\b|\badvises\b|\badvising\b,FALSE
146,VERB,NA,licence,licence,\blicence\b|\blicenced\b|\blicences\b,FALSE
143,VERB,NA,tour,tour,\btour\b|\btoured\b|\btours\b,FALSE
143,VERB,NA,placing,placing,\bplacing\b|\bPlacing\b,FALSE
142,VERB,NA,turnkey,turnkey,\bturnkey\b,FALSE
141,VERB,NA,kick,kick,\bkick\b|\bKick\b|\bkicked\b|\bkicking\b|\bkicks\b,FALSE
139,VERB,NA,attach,attach,\battach\b|\battached\b|\bAttached\b|\battaches\b|\battaching\b,FALSE
138,VERB,NA,optimised,optimised,\boptimised\b,FALSE
137,VERB,NA,brave,brave,\bbrave\b|\bBrave\b|\bBRAVE\b|\bbraved\b|\bbraving\b,FALSE
135,VERB,NA,sponsor,sponsor,\bsponsor\b|\bSponsor\b|\bsponsored\b|\bSponsored\b|\bsponsoring\b|\bsponsors\b,FALSE
135,VERB,NA,surround,surround,\bsurround\b|\bsurrounded\b|\bsurrounding\b|\bsurrounds\b,FALSE
134,VERB,NA,paint,paint,\bpaint\b|\bPaint\b|\bpainted\b|\bpainting\b|\bpaints\b,FALSE
132,VERB,NA,lowering,lowering,\blowering\b,FALSE
132,VERB,NA,Award,Award,\bAward\b|\bAwarding\b|\bAwards\b,FALSE
132,VERB,NA,delegate,delegate,\bdelegate\b|\bDelegate\b|\bdelegates\b,FALSE
132,VERB,NA,specialized,specialized,\bspecialized\b,FALSE
131,VERB,NA,wish,wish,\bwish\b|\bwished\b|\bwishes\b|\bwishing\b,FALSE
131,VERB,NA,strike,strike,\bstrike\b|\bStrike\b|\bstrikes\b|\bstriking\b|\bStriking\b|\bstruck\b,FALSE
131,VERB,NA,scal,scal,\bscaled\b|\bscaling\b,FALSE
130,VERB,NA,assiste,assiste,\bassisted\b|\bassisting\b,FALSE
130,VERB,NA,watch,watch,\bwatch\b|\bWatch\b|\bwatched\b|\bwatches\b|\bwatching\b|\bWatching\b,FALSE
130,NO,NA,feel,feel,\bfeel\b|\bFeel\b|\bfeeling\b|\bfeels\b|\bfelt\b,FALSE
129,VERB,NA,hoist,hoist,\bhoist\b|\bhoisted\b|\bhoisting\b|\bhoists\b,FALSE
129,VERB,NA,pursue,pursue,\bpursue\b|\bpursued\b|\bpursues\b|\bpursuing\b,FALSE
128,VERB,NA,designate,designate,\bdesignate\b|\bdesignated\b|\bDesignated\b|\bdesignating\b,FALSE
128,VERB,NA,overcome,overcome,\bovercome\b|\bovercomes\b|\bovercoming\b,FALSE
126,VERB,NA,indicate,indicate,\bindicate\b|\bindicated\b|\bindicates\b|\bindicating\b,FALSE
125,VERB,NA,pick,pick,\bpick\b|\bPick\b|\bpicked\b|\bpicking\b|\bPicking\b|\bpicks\b,FALSE
123,VERB,NA,combining,combining,\bcombining\b,FALSE
123,VERB,NA,foun,foun,\bfounded\b|\bfounding\b,FALSE
123,VERB,NA,founde,founde,\bfounded\b|\bfounding\b,FALSE
122,VERB,NA,coordinated,coordinated,\bcoordinated\b,FALSE
121,VERB,NA,Commente,Commente,\bCommenting\b,FALSE
120,VERB,NA,tune,tune,\btune\b|\btuned\b|\btuning\b,FALSE
119,VERB,NA,cool,cool,\bcool\b|\bcooled\b|\bcooling\b|\bcools\b,FALSE
119,COMPETITION,NA,tackle,tackle,\btackle\b|\btackled\b|\btackles\b|\btackling\b|\bTackling\b,FALSE
118,VERB,NA,finished,finished,\bfinished\b,FALSE
116,VERB,NA,switchgear,switchgear,\bswitchgear\b|\bswitchgears\b,FALSE
116,VERB,NA,unveil,unveil,\bunveil\b|\bunveiled\b|\bunveiling\b|\bunveils\b,FALSE
116,VERB,NA,unveill,unveill,\bunveil\b,FALSE
116,VERB,NA,display,display,\bdisplay\b|\bDisplay\b|\bdisplayed\b|\bdisplaying\b|\bdisplays\b,FALSE
116,VERB,NA,tracking,tracking,\btracking\b|\bTracking\b,FALSE
115,VERB,NA,appeal,appeal,\bappeal\b|\bAPPEAL\b|\bappealed\b|\bappealing\b|\bappeals\b,FALSE
114,VERB,NA,recognize,recognize,\brecognize\b|\brecognized\b|\bRecognized\b|\brecognizes\b|\brecognizing\b,FALSE
114,VERB,NA,institute,institute,\binstitute\b|\binstituted\b|\binstitutes\b,FALSE
110,VERB,NA,arise,arise,\barise\b|\barisen\b|\barises\b|\barising\b|\barose\b,FALSE
108,VERB,NA,organise,organise,\borganise\b|\borganised\b|\bOrganised\b|\borganises\b|\borganising\b,FALSE
108,VERB,NA,consenting,consenting,\bconsenting\b,FALSE
106,VERB,NA,tendering,tendering,\btendering\b,FALSE
106,VERB,NA,participating,participating,\bparticipating\b|\bParticipating\b,FALSE
106,VERB,NA,quote,quote,\bquote\b|\bQuote\b|\bquoted\b|\bquotes\b|\bquoting\b,FALSE
106,VERB,NA,retain,retain,\bretain\b|\bretained\b|\bretaining\b|\bretains\b,FALSE
104,VERB,NA,specialised,specialised,\bspecialised\b,FALSE
104,VERB,NA,bolt,bolt,\bbolt\b|\bbolted\b|\bbolting\b|\bbolts\b,FALSE
103,VERB,NA,emphasize,emphasize,\bemphasize\b|\bemphasized\b|\bemphasizes\b|\bemphasizing\b,FALSE
103,VERB,NA,delaye,delaye,\bdelayed\b,FALSE
101,VERB,NA,accompany,accompany,\baccompanied\b|\bAccompanied\b|\baccompanies\b|\baccompany\b|\baccompanying\b,FALSE
101,VERB,NA,assume,assume,\bassume\b|\bassumed\b|\bassumes\b|\bassuming\b|\bAssuming\b,FALSE
101,VERB,NA,diversify,diversify,\bdiversified\b|\bdiversifies\b|\bdiversify\b|\bdiversifying\b,FALSE
101,VERB,NA,expose,expose,\bexpose\b|\bexposed\b|\bexposes\b|\bexposing\b,FALSE
100,VERB,NA,disclose,disclose,\bdisclose\b|\bdisclosed\b|\bdisclosing\b,FALSE
