"freq","class","sub_class","name","tooltip","alias","ignore"
93,"ORG","Others","Aquamarine Power","Aquamarine Power","Aquamarine Power",FALSE
92,"ORG","Engineering","Siem Offshore","Siem Offshore Contractors GmbH","Siem Offshore( Contractors( GmbH )?)?",FALSE
92,"ORG","Engineering","Swire Blue Ocean","Swire Blue Ocean","Swire Blue Ocean",FALSE
90,"ORG","Others","AMSC","American Superconductor","American Superconductor|\bAMSC\b",FALSE
89,"ORG","Cable","NSW","Norddeutsche Seekabelwerke GmbH","Norddeutsche Seekabelwerke GmbH|\bNSW\b",FALSE
88,"ORG","Others","Prysmian Group","Prysmian Group","Prysmian Group",FALSE
85,"ORG","Others","KPS","Kite Power Systems","Kite Power Systems|\bKPS\b",FALSE
84,"ORG","System","AXYS","AXYS Technologies Inc.","AXYS Technologies Inc\.|\bAXYS\b",FALSE
83,"ORG","Turbine","Hitachi","Hitachi","Hitachi",FALSE
81,"ORG","Foundation","Bladt Industries","Bladt Industries","Bladt Industries",FALSE
81,"ORG","Services","EDS","EDS HV Group","\bEDS( HV( Group)?)?",FALSE
80,"ORG","Turbine","Deutsche Windtechnik","Deutsche Windtechnik Ltd","Deutsche Windtechnik",FALSE
78,"ORG","Equipment","Barge Master","Barge Master","Barge Master",FALSE
77,"ORG","Engineering","SAL","SAL Heavy Lift","SAL( Heavy Lift| Offshore)|\bSAL\b",FALSE
76,"ORG","Consultant","MAKE","MAKE Consulting","\bMAKE( Consulting)?",FALSE
76,"ORG","Engineering","SHI","Samsung Heavy Industries","Samsung Heavy Industries|\bSHI\b",FALSE
75,"ORG","Services","Lockheed Martin","Lockheed Martin","Lockheed Martin",FALSE
75,"ORG","Engineering","Dalby Offshore","Dalby Offshore","Dalby Offshore",FALSE
74,"ORG","Consultant","ABS","ABS Consulting","\bABS( Consulting)?",FALSE
71,"ORG","Services","MMT","MMT AB Sweden","\bMMT\b",FALSE
71,"ORG","Equipment","SMST","SMST Designers & Constructors BV","\bSMST\b",FALSE
71,"ORG","Foundation","Universal Foundation","Universal Foundation A/S","Universal Foundation",FALSE
70,"ORG","Services","SeaZip","SeaZip","SeaZip",FALSE
70,"ORG","ShipBuil","ULSTEIN","ULSTEIN GROUP","ULSTEIN( GROUP)?",FALSE
69,"ORG","Others","SGS","SGS Renewable Energy","\bSGS( Renewable Energy)?",FALSE
69,"ORG","Developer","Mainstream Renewable Power","Mainstream Renewable Power","Mainstream Renewable Power",FALSE
68,"ORG","Turbine","SeaTwirl","SeaTwirl","SeaTwirl",FALSE
68,"ORG","Others","Siemens Energy","Siemens Energy","Siemens Energy Management Division|Siemens Energy Sector|Siemens Energy",FALSE
67,"ORG","Consultant","GICON","GICON Group","German GICON Group|Floating Offshore Foundation|GICON( (S|F)OF)?",FALSE
66,"ORG","Services","ESS","Energy Skills Scotland","Energy Skills Scotland|\bESS\b",FALSE
66,"ORG","Consultant","KIC","KIC InnoEnergy","\bKIC( InnoEnergy)?",FALSE
66,"ORG","Developer","Nordsee One","Nordsee One","Nordsee One",FALSE
65,"ORG","Equipment","OSBIT","OSBIT Power Limited","OSBIT( Power)?( Limited)?|\bOP\b",FALSE
64,"ORG","Services","MCT","Marine Current Turbines Ltd.","Marine Current Turbines( Ltd\.?)?|\bMCT\b",FALSE
63,"ORG","Others","Moog","Moog","\bMoog\b",FALSE
63,"ORG","Equipment","CG","CG Holdings Belgium","\bCG( [A-Z][a-z]+){0,2}\b",FALSE
63,"ORG","Equipment","EOLOS","EOLOS Solutions","EOLOS",FALSE
63,"ORG","Services","APEM","APEM Co. UK","\bAPEM\b",FALSE
63,"ORG","ShipBuil","Austal","Austal","\bAustal\b",FALSE
63,"ORG","Services","ALE","ALE Wind Services","ALE('s)?",FALSE
62,"ORG","Engineering","MPI Offshore","MPI Offshore","MPI Offshore",FALSE
60,"ORG","Services","HSM","HSM( Offshore","\bHSM( Offshore)?",FALSE
59,"ORG","Services","IT Power","IT Power Consulting Ltd.","IT Power( Consulting)?( Ltd\.)?|\bITP\b",FALSE
59,"ORG","Consultant","LOC","London Offshore Consultants","London Offshore Consultants|\bLOC( Renewables| Group)?\b",FALSE
58,"ORG","Developer","US Wind","US Wind","US Wind",FALSE
58,"ORG","Others","CS","CS Offshore","CS (O|o)ffshore|\bCS\b",FALSE
56,"ORG","Engineering","Bibby Marine Services","Bibby Marine Services","Bibby Marine Services",FALSE
55,"ORG","Others","Mitsubishi Corporation","Mitsubishi Corporation","Mitsubishi Corporation",FALSE
54,"ORG","Others","Bloomberg","Bloomberg","(B|b)loomberg",FALSE
53,"ORG","Equipment","Safety Technology","Safety Technology","Safety Technology",FALSE
50,"ORG","Others","GRS","Global Renewables Shipbrokers","Global Renewables Shipbroker(s)?|\bGRS\b",FALSE
50,"ORG","Others","ORPC","Ocean Renewable Power Company","Ocean Renewable Power Company|\bORPC\b",FALSE
49,"ORG","Engineering","AMC","Aluminium Marine Consultants","Aluminium Marine Consultants|\bAMC\b",FALSE
49,"ORG","ShipBuil","IOW","South Boats IOW Ltd","\b(South Boats )?IOW(:| Ltd:)?",FALSE
48,"ORG","PowerCo","IBERDROLA","IBERDROLA Group","(Fundaci\S+ )?IBERDROLA (RENOVABLES|Group|INGENI\S+)?",FALSE
48,"ORG","Equipment","SMD","Soil Machine Dynamics","Soil Machine Dynamics( Ltd)?|\bSMD\b",FALSE
48,"ORG","Others","AW-Energy","AW-Energy","\bAW-Energy\b",FALSE
48,"ORG","Civil","HOCHTIEF","HOCHTIEF Construction","HOCHTIEF( Construction)?",FALSE
47,"ORG","Others","SeaRoc Group","SeaRoc Group","SeaRoc Group",FALSE
44,"ORG","Others","BLG","BLG WindEnergy Logistics","BLG WindEnergy( Logistics)?|\bBLG\b",FALSE
44,"ORG","Services","SMC","Specialist Marine Consultants","Specialist Marine Consultants|(Scaldis)? SMC('s)?",FALSE
43,"ORG","PowerCo","ESB","Electricity Supply Board","Electricity Supply Board|\bESB\b",FALSE
42,"ORG","PowerCo","Red Rock Power Ltd.","Red Rock Power Ltd.","Red Rock Power Ltd.",FALSE
42,"ORG","Blade","GEV","GEV Wind Power","GEV Wind Power('s)?|\bGEV\b",FALSE
42,"ORG","Services","LDA","Louis Dreyfus Armateurs","Louis Dreyfus ARMATEURS( Group)?( \(LDA\))?|\bLDA\b",TRUE
42,"ORG","Services","3sun Group","3sun Group","3sun Group",FALSE
42,"ORG","Consultant","Anbaric","Anbaric","Anbaric",FALSE
41,"ORG","Others","SeaEnergy","Sea Energy Company","\bSeaEnergy\b",FALSE
40,"ORG","Others","Reuters","Reuters","Reuters",FALSE
37,"ORG","Others","NRG","Renewable NRG Systems","Renewable NRG( Systems)|\bNRG\b",FALSE
36,"ORG","Engineering","Iceni Marine Services","Iceni Marine Services","Iceni Marine Services",FALSE
35,"ORG","Consultant","OutSmart","OutSmart","\bOutSmart\b",FALSE
35,"ORG","Engineering","Subsea 7 SA","Subsea 7 SA","Subsea 7 SA | Subsea 7",FALSE
34,"ORG","Consultant","BVG Associates","BVG Associates","BVG Associates",FALSE
34,"ORG","Equipment","KCI","KCI","KCI",FALSE
34,"ORG","Turbine","XEMC","Xiangtan Electric Manufacturing Corporation","Xiangdian Wind Energy( \(XEMC\))?|Xiangtan Electric Manufacturing Corporation( Ltd)? |\bXEMC\b",FALSE
34,"ORG","System","Tideland","Tideland Singal","Tideland Signal|Tideland",FALSE
34,"ORG","Others","Siemens AG","Siemens AG","Siemens (AG|Industry)",FALSE
33,"ORG","Equipment","Hydro Group","Hydro Group","Hydro Group",FALSE
33,"ORG","Training","Deutsche WindGuard","Deutsche WindGuard","Deutsche WindGuard",FALSE
33,"ORG","Engineering","MMS","MMS Offshore Renewable Services Ltd","MMS Offshore|\bMMS\b",FALSE
33,"ORG","Others","LR","Lloyd's Register","Lloyd's Register( \(LR\))?|\bLR\b",FALSE
32,"ORG","Engineering","Oceanteam","Oceanteam","Oceanteam",FALSE
32,"ORG","Engineering","OOS","OOS International","OOS International|\bOOS\b",FALSE
32,"ORG","Services","Red7Marine","Red7Marine","Red7Marine",FALSE
31,"ORG","Others","Blue Water Shipping","Blue Water Shipping","Blue Water Shipping",FALSE
30,"ORG","Civil","MT Hojgaard","MT Hojgaard","MT Hojgaard|MT Hojgaard|\bMT\b",FALSE
29,"ORG","PowerCo","Northland Power Inc.","Northland Power Inc.","Northland Power Inc.",FALSE
29,"ORG","Civil","BAM","BAM Nuttall","BAM Nuttall|\bBAM\b",FALSE
29,"ORG","Equipment","SKF","SKF","\bSKF\b",FALSE
28,"ORG","Survey","Fugro EMU","Fugro EMU","Fugro EMU|\bEMU\b",FALSE
28,"ORG","Equipment","Bosch Rexroth","Bosch Rexroth","Bosch Rexroth",FALSE
27,"ORG","Services","TAG Energy Solutions","TAG Energy Solutions","TAG Energy Solutions",FALSE
27,"ORG","Foundation","AMBAU","AMBAU","\bAMBAU\b",FALSE
26,"ORG","Blade","Blade Dynamics","Blade Dynamics","Blade Dynamics",FALSE
25,"ORG","Others","DTU Wind Energy","DTU Wind Energy","DTU Wind Energy",FALSE
25,"ORG","Consultant","NOF Energy","NOF Energy","NOF Energy",FALSE
24,"ORG","System","CPNL","CPNL","\bCPNL\b",FALSE
24,"ORG","Consultant","Aqualis","AqualisBraemar","AqualisBraemar|Aqualis",FALSE
24,"ORG","Services","NorSea","NorSea","NorSea",FALSE
23,"ORG","ShipBuil","Mitsubishi","Mitsubishi Heavy Industries","Mitsubishi Heavy Industries",FALSE
23,"ORG","Services","FoundOcean","FoundOcean","FoundOcean",FALSE
23,"ORG","Developer","Nordsee One GmbH","Nordsee One GmbH","Nordsee One GmbH",FALSE
22,"ORG","Equipment","Reef","Reef Subsea Power & Umbilical","Reef Subsea Power & Umbilical",FALSE
22,"ORG","Chemical","Aubin","Aubin Group","\bAubin\b",FALSE
21,"ORG","Chemical","BASF","BASF","\bBASF\b",FALSE
21,"ORG","Equipment","Senergy","Senergy","Senergy",FALSE
20,"ORG","Turbine","APQP4Wind","APQP4Wind","APQP4Wind",FALSE
20,"ORG","Consultant","WSP","WSP","\bWSP\b",FALSE
20,"ORG","Engineering","Hung Hua","Hung Hua Construction","Hung Hua( Construction)?( Co\. Ltd\.)?|\bHHC\b",FALSE
18,"ORG","Developer","Polenergia","Polenergia","Polenergia",FALSE
18,"ORG","Engineering","A&P Group","A&P Group","A&P Group",FALSE
18,"ORG","System","Turner Iceni","Turner Iceni","Turner Iceni",FALSE
17,"ORG","Engineering","Northern Offshore Services","Northern Offshore Services","Northern Offshore Services",FALSE
13,"ORG","Services","AEG","Aeolus Energy Group","Aeolus Energy Group|\bAEG\b",FALSE
13,"ORG","System","Falcon Global","Falcon Global","Falcon Global( LLC)?",FALSE
11,"ORG","Turbine","GE Wind","GE Wind","GE Wind|Alstom Wind",FALSE
8,"ORG","Services","Acteon","Acteon","\bActeon\b",FALSE
7,"ORG","Engineering","Seaway Offshore","Seaway Offshore Cables","Seaway Offshore( Cables)?",FALSE
7,"ORG","Equipment","Saab Seaeye","Saab Seaeye","Saab Seaeye",FALSE
4,"ORG","Services","UTEC","UTEC","UTEC",FALSE
